sku,csv_filename,real_filename,real_url,status
"pds-azure-chassis-numbers-62086-on-including-2000-2003-my-p12240","cylinder_heads_02000.jpg","1491471190-65912700.jpg","https://www.introcar.com/media/lookbookslider/1491471190-65912700.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-46004-46778-p12198","cylinder_head_20000_2.jpg","1491377578-56844600.jpg","https://www.introcar.com/media/lookbookslider/1491377578-56844600.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-54007-54748-p12204","cylinder_heads_54001.jpg","1491464883-16020900.jpg","https://www.introcar.com/media/lookbookslider/1491464883-16020900.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-54750-55482-p12211","cylinder_heads_54746.jpg","1491465977-91682700.jpg","https://www.introcar.com/media/lookbookslider/1491465977-91682700.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-55487-55683-p12218","cylinder_heads_55483_lookbook_.jpg","1491467191-02423300.jpg","https://www.introcar.com/media/lookbookslider/1491467191-02423300.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-55636-55755-p12225","cylinder_heads_55622.jpg","1491467959-97829100.jpg","https://www.introcar.com/media/lookbookslider/1491467959-97829100.jpg","downloaded"
"pcylinder-heads-brooklands-chassis-numbers-57006-on-p12232","cylinder_heads_57001_1.jpg","1491468997-38101600.jpg","https://www.introcar.com/media/lookbookslider/1491468997-38101600.jpg","downloaded"
"pcylinder-heads-continental-r-chassis-numbers-42001-42728-p12197","cylinder_head_20000_3.jpg","1491377578-56844600.jpg","https://www.introcar.com/media/lookbookslider/1491377578-56844600.jpg","downloaded"
"pcylinder-heads-continental-r-chassis-numbers-52001-52181-p12203","cylinder_heads_54001_1.jpg","1491464883-16020900.jpg","https://www.introcar.com/media/lookbookslider/1491464883-16020900.jpg","downloaded"
"pcylinder-heads-continental-r-chassis-numbers-52182-52375-p12217","cylinder_heads_55483_lookbook__1.jpg","1491467191-02423300.jpg","https://www.introcar.com/media/lookbookslider/1491467191-02423300.jpg","downloaded"
"pcylinder-heads-continental-r-chassis-numbers-52410-52449-p12224","cylinder_heads_55622_1.jpg","1491467959-97829100.jpg","https://www.introcar.com/media/lookbookslider/1491467959-97829100.jpg","downloaded"
"pcylinder-heads-continental-r-chassis-numbers-53001-63320-p12231","cylinder_heads_57001_2.jpg","1491468997-38101600.jpg","https://www.introcar.com/media/lookbookslider/1491468997-38101600.jpg","downloaded"
"pnental-r-chassis-numbers-63359-on-including-2000-2003-my-p12239","cylinder_heads_02000_1.jpg","1491471190-65912700.jpg","https://www.introcar.com/media/lookbookslider/1491471190-65912700.jpg","downloaded"
"pcylinder-heads-continental-sc-p12236","cylinder_heads_57001_3.jpg","1491468997-38101600.jpg","https://www.introcar.com/media/lookbookslider/1491468997-38101600.jpg","downloaded"
"pcylinder-heads-continental-t-chassis-numbers-53159-67217-p12235","cylinder_heads_57001_4.jpg","1491468997-38101600.jpg","https://www.introcar.com/media/lookbookslider/1491468997-38101600.jpg","downloaded"
"pnental-t-chassis-numbers-67218-on-including-2000-2003-my-p12241","cylinder_heads_02000_2.jpg","1491471190-65912700.jpg","https://www.introcar.com/media/lookbookslider/1491471190-65912700.jpg","downloaded"
"pe-continental-chassis-numbers-05037-05699-cars-for-japan-p12171","cylinder_head_01517_usa_.jpg","1491294655-82021900.jpg","https://www.introcar.com/media/lookbookslider/1491294655-82021900.jpg","downloaded"
"pche-continental-chassis-numbers-05037-05699-cars-for-usa-p12169","cylinder_head_01517_usa__1.jpg","1491294655-82021900.jpg","https://www.introcar.com/media/lookbookslider/1491294655-82021900.jpg","downloaded"
"passis-numbers-05112-06661-other-than-usa-japan-australia-p12129","cylinder_head_01001.jpg","1491205731-85596800.jpg","https://www.introcar.com/media/lookbookslider/1491205731-85596800.jpg","downloaded"
"pcylinder-heads-bentley-eight-chassis-numbers-08862-14387-p12135","cylinder_head_06751.jpg","1491206609-40191000.jpg","https://www.introcar.com/media/lookbookslider/1491206609-40191000.jpg","downloaded"
"pcylinder-heads-bentley-eight-chassis-numbers-14388-16954-p12140","cylinder_head_14464_lookbook.jpg","1491208425-74975700.jpg","https://www.introcar.com/media/lookbookslider/1491208425-74975700.jpg","downloaded"
"pcylinder-head-rocker-valley-cover-gaskets-seals-lock-tabs-p7622","cylinder_head_valley_rocker_gaskets_1.jpg","Cylinder Head, Valley & Rocker Gaskets.jpg","https://www.introcar.com/media/lookbookslider/Cylinder Head, Valley & Rocker Gaskets.jpg","downloaded"
"pdashboard-switches-instruments-scii-sra1","s2_dashboard_switches_sra1.jpg","S2 Dashboard Switches SRA1 (1).jpg","https://www.introcar.com/media/lookbookslider/S2 Dashboard Switches SRA1 (1).jpg","downloaded"
