SKU,Parent SKU,File
UR20144-X,UR20144,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR20144_processed.mp4
UR20917KIT-X,UR20917KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR20917KIT_processed.mp4
UR21273-X,UR21273,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR21273_processed.mp4
UR22921-X,UR22921,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR22921_processed.mp4
UR2318KT-X,UR2318KT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR2318KT_processed.mp4
UR23270-X,UR23270,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR23270_processed.mp4
UR23318-X,UR23318,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR23318_processed.mp4
UR264KIT-X,UR264KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR264KIT_processed.mp4
UR26630-X,UR26630,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR26630_processed.mp4
UR26787-X,UR26787,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR26787_processed.mp4
UR27176-X,UR27176,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR27176_processed.mp4
UR27667-X,UR27667,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR27667_processed.mp4
UR3285-X,UR3285,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR3285_processed.mp4
UR3344-X,UR3344,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR3344_processed.mp4
UR3398KIT-X,UR3398KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR3398KIT_processed.mp4
UR3797MP-X,UR3797MP,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR3797MP_processed.mp4
UR3941-X,UR3941,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR3941_processed.mp4
UR4639-X,UR4639,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR4639_processed.mp4
UR512-X,UR512,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR512_processed.mp4
UR5137-X,UR5137,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR5137_processed.mp4
UR70531-X,UR70531,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR70531_processed.mp4
UR70677-X,UR70677,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR70677_processed.mp4
UR71238-X,UR71238,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR71238_processed.mp4
UR73208-X,UR73208,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR73208_processed.mp4
UR73256KT-X,UR73256KT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR73256KT_processed.mp4
UR73500-X,UR73500,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR73500_processed.mp4
UR8016ORK-X,UR8016ORK,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR8016ORK_processed.mp4
UR8016RBKT-X,UR8016RBKT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR8016RBKT_processed.mp4
UR814-X,UR814,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR814_processed.mp4
UT10827PD-X,UT10827PD,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UT10827PD_processed.mp4
UT11677PD-X,UT11677PD,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UT11677PD_processed.mp4
UT11677PDMAG-X,UT11677PD,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UT11677PD_processed.mp4
UV20428PA-X,UV20428PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UV20428PA_processed.mp4
UV20431PA-X,UV20431PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UV20431PA_processed.mp4
WT10185-X,WT10185,/Users/annikaimpallomeni/Desktop/ProcessedVideos/WT10185_processed.mp4
XB7106R-X,XB7106R,/Users/annikaimpallomeni/Desktop/ProcessedVideos/XB7106R_processed.mp4
Z265-127-X,Z265-127,/Users/annikaimpallomeni/Desktop/ProcessedVideos/Z265-127_processed.mp4
