"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"UR73500-X","HANDBRK CABLE (STANDARD WHEELBASE)","79","£6739.94","£600.56","£7340.50","£1326.16","£5413.78","80.32"
"RH2765-X","OIL FILTER (FULL FLOW)","197","£6839.32","£500.99","£7340.31","£591.00","£6248.32","91.36"
"UB31535-X","LEFT HAND FRONT DOOR SEAL","103","£6606.54","£720.54","£7327.08","£282.22","£6324.32","95.73"
"UR70531-X","REAR SUBFRAME MOUNTING BUSH","40","£6254.18","£1045.84","£7300.02","£76.14","£6178.04","98.78"
"UB17748-X","STANDARD WHEELBASE FRONT AND REAR DOOR SEAL","129","£6433.37","£850.93","£7284.30","£630.81","£5802.56","90.19"
"3W5698451B-X","REAR PAD SET","100","£6357.82","£907.89","£7265.71","£2362.28","£3995.54","62.84"
"RH2436-X","HEIGHT CONTROL VALVE SEAL KIT","399","£6942.77","£311.11","£7253.88","£2987.65","£3955.12","56.97"
"UE37061-X","VISCOUS FAN COUPLING","48","£6912.04","£332.80","£7244.84","£1029.92","£5882.12","85.10"
"UR72471-X","ROAD SPRING REAR SUSPENSION","50","£6539.95","£702.41","£7242.36","£4781.78","£1758.17","26.88"
"3Y0601025AMSET-P","21 INCH X9 INCH POLISHED ALUMINUM WHEELS","2","£6000.00","£1200.00","£7200.00","£2820.00","£3180.00","53"
"RH10009-X","GEARBOX FILTER KIT","166","£6655.85","£529.37","£7185.22","£2177.47","£4478.38","67.28"
"3W0407613E-X","WHEEL HUB ASSEMBLY","30","£6301.56","£877.20","£7178.76","£3241.06","£3060.50","48.57"
"3W0407506-X","FRONT WISHBONE LINK","74","£6129.43","£1036.06","£7165.49","£1571.31","£4558.12","74.36"
"3W0407505-X","FRONT WISHBONE LINK","76","£6139.44","£1017.87","£7157.31","£1814.34","£4325.10","70.45"
"DHARBKIT-X","ROAD HANDLING PACKAGE (SILVER SHADOW AND CORNICHE CONVERTIBLE)","5","£6129.20","£1023.16","£7152.36","£4600.84","£1528.36","24.94"
"RH10166-X","SPINDLE AND ROLLER WATERPUMP KIT","57","£6394.35","£757.65","£7152.00","£1515.18","£4879.17","76.30"
"UE71222S-X","CYLINDER LINER","113","£6653.63","£429.86","£7083.49","£1154.67","£5498.96","82.65"
"UG13564/5-X","REAR HUB INNER RACE AND ROLLER","337","£6724.48","£331.76","£7056.24","£1943.41","£4781.07","71.10"
"R4-206-X","DOOR SEAL (315 CM)","185","£6144.34","£908.27","£7052.61","£919.15","£5225.19","85.04"
"RE3942SA-X","CRANKSHAFT DAMPER SPRING PLATE","16","£6240.73","£801.24","£7041.97","£4080.64","£2160.09","34.61"
"SSHYDHSKT4-X","BRK AND HEIGHT CONTROL VALVE HOSE SET (LEFT HAND DRIVE)","45","£6967.09","£63.22","£7030.31","£2643.74","£4323.35","62.05"
