"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"3Z2941016-U","HEADLAMP DIP RIGHT HAND DRIVE UK RIGHT HAND","1","£518.10","£103.62","£621.72","£388.57","£129.53","25"
"3Z0998281-A","FAN MOTOR HEATER BLOWER","1","£620.99","£0.00","£620.99","£517.49","£103.50","16.67"
"PD29715PDSX-R","STRUT AND HOSE LEFT HAND","1","£517.27","£103.46","£620.73","£250.00","£267.27","51.67"
"PD29716PDSX-R","STRUT AND HOSE RIGHT HAND","1","£517.27","£103.46","£620.73","£250.00","£267.27","51.67"
"RG6476-X","HUB CAP NUT TO INNER COVER CHROME RING","13","£569.52","£50.99","£620.51","£370.82","£198.70","34.89"
"RG6991-X","REAR SHOE UPPER PULL-OFF SPRING","22","£577.10","£43.30","£620.40","£174.90","£402.20","69.69"
"UD17971-P","REAR LAMP","2","£620.32","£0.00","£620.32","£300.00","£320.32","51.64"
"RE17017-A","AIR SILENCER TO INTAKE HOSE","8","£604.26","£15.84","£620.10","£519.97","£84.29","13.95"
"36A805594C-A","FRONT FRAME","1","£619.99","£0.00","£619.99","£503.67","£116.32","18.76"
"RH5000-X","CENTRAL HYDRAULIC SYSTEM FLUID","29","£553.20","£66.66","£619.86","£266.80","£286.40","51.77"
"UD17357SX-COU","CUSTOMERS OWN UNIT  HEIGHT CONTROL SOLENOID (3 PORT)","3","£516.26","£103.25","£619.51","£223.14","£293.12","56.78"
"RG7047-X","HUB CAP CHROME NUT (BENTLEY)","7","£595.30","£23.15","£618.45","£497.19","£98.11","16.48"
"UB5096C-X","MIRROR (RIGHT HAND WING / LEFT HAND DOOR, CONVEX GLASS)","16","£580.72","£37.68","£618.40","£315.14","£265.58","45.73"
"4W0121253.01-X","RADIATOR (W12 6.0L, ALUMINIUM OPTION)","1","£513.54","£102.71","£616.25","£453.13","£60.41","11.76"
"HOODSTRAP1-X","GTC TENSION BOW STRAP REPAIR KIT","8","£592.13","£23.93","£616.06","£420.00","£172.13","29.07"
"CD6126-X","LEFT HAND FRONT INDICATOR AND SIDE LIGHT LENS (AMBER / CLEAR)","5","£529.43","£86.14","£615.57","£400.45","£128.98","24.36"
"UB3579-X","WINDOW MOTOR UPPER MOUNTING","16","£547.19","£68.38","£615.57","£56.00","£491.19","89.77"
"7329194-A","COVER, BOTTOM RIGHT","8","£615.31","£0.00","£615.31","£546.67","£68.64","11.16"
"7329193-A","COVER, BOTTOM LEFT","8","£615.31","£0.00","£615.31","£546.67","£68.64","11.16"
"RE15083-X","TAPPET COVER JOINT","112","£589.10","£25.89","£614.99","£214.69","£374.41","63.56"
"RB5819-X","RIGHT HAND FRONT QUARTERLIGHT FRAME SEAL","8","£543.95","£70.96","£614.91","£27.92","£516.03","94.87"
"PA102121PB-A","RECEIVER DRIER ASSEMBLY","3","£614.72","£0.00","£614.72","£490.07","£124.65","20.28"
"3W0906073A-A","PROTECTIVE SLEEVE","1","£511.85","£102.37","£614.22","£127.59","£384.26","75.07"
"6782181-A","WISHBONE, BOTTOM, WITH RUBBER MOUNT LEFT","1","£613.36","£0.00","£613.36","£560.07","£53.29","8.69"
"6782182-A","WISHBONE, BOTTOM,WITH RUBBER MOUNT RIGHT","1","£613.36","£0.00","£613.36","£345.37","£267.99","43.69"
"4E0419801E-X","STEERING TRACK ROD WITH BALL JOINT","5","£510.89","£102.18","£613.07","£470.69","£40.20","7.87"
"UB72649-X","DOOR MIRROR GLASS AND BACKING (CONVEX)","7","£521.52","£91.21","£612.73","£140.00","£381.52","73.16"
"307300159-X","LEFT HAND SILL BRACE PANEL","2","£612.49","£0.00","£612.49","£442.55","£169.94","27.75"
"UR73208-A","BRK PAD KIT FRONT AXLE","2","£554.86","£57.60","£612.46","£397.92","£156.94","28.28"
"PD31753PA-X","ANTI-ROLL BAR BUSH","41","£584.75","£27.47","£612.22","£138.81","£445.94","76.26"
"GM8655031-X","GEARBOX OUTPUT SHAFT OIL SEAL","25","£574.17","£37.52","£611.69","£48.00","£526.17","91.64"
"UR17760-X","EXPANSION TANK BLEED HOSE","19","£585.41","£25.76","£611.17","£475.00","£110.41","18.86"
"RH9263-X","FAN BELT TWIN","23","£571.55","£39.60","£611.15","£283.70","£287.85","50.36"
"7301952-A","MIRROR GLAS, WIDE-ANGLE, RIGHT","1","£509.26","£101.85","£611.11","£0.00","£509.26","100"
"3W5945399F-A","HIGH MOUNTED STOPLIGHT (CARS WITHOUT PRIVACY GLASS)","1","£508.74","£101.75","£610.49","£467.50","£41.24","8.11"
"UB77306-A","INTRM COLUMN COMP RIGHT HAND ASSEMBLY","2","£557.65","£52.83","£610.48","£0.00","£557.65","100"
"1C0810773-X","FUEL DOOR ACTUATOR","17","£603.39","£7.09","£610.48","£356.34","£247.05","40.94"
"CD6838-A","AIR / FUEL METER ELECTO-HYDRAULIC ACTUATOR","1","£609.99","£0.00","£609.99","£457.50","£152.49","25"
"UR5400-X","OVERRIDER RUBBER PLUG","96","£575.55","£33.90","£609.45","£56.64","£518.91","90.16"
"7594938-A","IGNITION COIL","12","£608.26","£0.00","£608.26","£506.87","£101.39","16.67"
"PM20722PA-U","LAMP UNIT REAR RH IND/STP","2","£607.75","£0.00","£607.75","£450.00","£157.75","25.96"
"XB7108-X","LOCK WASHER","196","£545.85","£61.89","£607.74","£111.24","£434.61","79.62"
"UR27671-A","COVER SPRING TOP ASSEMBLY","3","£506.22","£101.25","£607.47","£410.75","£95.47","18.86"
"PD23595PA-X","REAR SPRING PACKING WASHER (9.7 MM)","14","£506.09","£101.23","£607.32","£202.16","£303.93","60.05"
"UT12088PB-X","OIL COOLER RETURN HOSE","1","£506.05","£101.21","£607.26","£400.29","£105.76","20.90"
"RH13062-X","ROLLER RETAINER GASKET","33","£546.04","£60.72","£606.76","£567.97","£-21.93","-4.02"
"UD11425-X","FUEL FEED PIPE O RING","366","£572.55","£33.91","£606.46","£21.96","£550.59","96.16"
"CD2270-X","REAR LIGHT TO WING / FENDER GASKET","18","£541.17","£64.53","£605.70","£22.68","£518.49","95.81"
"UD73423SX-R","ECU WASH WIPE","2","£549.88","£54.99","£604.87","£340.05","£209.83","38.16"
"UG14363SX-COU","CUSTOMERS OWN UNIT MASTER CYLINDER","2","£504.00","£100.80","£604.80","£203.28","£300.72","59.67"
"3W0498201A-X","INNER DRIVE SHAFT GAITER KIT","13","£503.90","£100.78","£604.68","£147.29","£356.61","70.77"
"UD19256-X","FLASHER UNIT","28","£549.86","£54.76","£604.62","£86.20","£463.66","84.32"
"UD23543-A","SENSOR ENGINE RUN","1","£603.90","£0.00","£603.90","£392.54","£211.36","35"
"307300158-X","INNER SILL","2","£602.34","£0.00","£602.34","£442.55","£159.79","26.53"
"R4521-X","CHASSIS TO REAR SPRING SHACKLE FLEXIBLE LUBRICATION HOSE","9","£601.35","£0.00","£601.35","£131.11","£470.24","78.20"
"PG107219PA-A","OIL COOLER","1","£601.24","£0.00","£601.24","£552.50","£48.74","8.11"
"UR27427-A","ADAPTER BRK PUMP","2","£601.24","£0.00","£601.24","£504.87","£96.37","16.03"
"UR16872-X","REAR SPRING LOWER SPACER (0.500 INCH)","18","£564.18","£36.62","£600.80","£454.84","£109.34","19.38"
"3W0411305J-A","ANTI-ROLL BAR","2","£600.48","£0.00","£600.48","£350.98","£249.50","41.55"
"UE3416-X","DOWNTAKE PIPE (LEFT HAND FRONT) ASSEMBLY","6","£600.12","£0.00","£600.12","£473.40","£126.72","21.12"
"UD1716-X","REAR LIGHT","2","£600.08","£0.00","£600.08","£500.07","£100.01","16.67"
"RF7609-X","FRONT SUSPENSION UPPER TRIANGLE LEVER INNER TAB WASHER","54","£512.00","£88.06","£600.06","£14.70","£497.30","97.13"
"UR13829-P","MOUNT SUB FRAME ASSEMBLY","2","£600.00","£0.00","£600.00","£276.46","£323.54","53.92"
"UR13627-SU","ASSY RADIATOR MATRIX","2","£600.00","£0.00","£600.00","£600.00","£0.00","0"
"3Z0121253-P","PRIMARY RADIATOR ASSEMBLY","1","£600.00","£0.00","£600.00","£587.99","£12.01","2"
"UD75069-SU","ASSY CM CDL & ANTI THEFT Surcharge","1","£500.00","£100.00","£600.00","£500.00","£0.00","0"
"UR18580-SU","HEADER TANK Surcharge","3","£600.00","£0.00","£600.00","£600.00","£0.00","0"
"UG2556-U","TOROUS DRIVING ASSEMBLY","1","£500.00","£100.00","£600.00","£1.00","£499.00","99.80"
"PB30055PA-SU","SX STARTER MOTOR V12","1","£500.00","£100.00","£600.00","£500.00","£0.00","0"
"PD20650PD-P","CONTROL MODULE AUTO RIDE CONTROL","1","£600.00","£0.00","£600.00","£527.28","£72.72","12.12"
"CD6495-SU","METER FUEL INJECTION Surcharge","1","£500.00","£100.00","£600.00","£500.00","£0.00","0"
"GMF1259-P","STRUT REAR","1","£599.99","£0.00","£599.99","£49.15","£550.84","91.81"
"UR27328-X","STEERING OIL COOLER HOSE","48","£508.54","£91.17","£599.71","£131.81","£376.73","74.08"
"UD11964-X","LUCAS 11AC ALTERNATOR & REGULATOR","2","£598.50","£0.00","£598.50","£310.00","£288.50","48.20"
"PC115014PB-A","REAR BRK ROTOR 345 X 24","2","£498.73","£99.75","£598.48","£218.42","£280.31","56.20"
"4W0827550C-X","BOOT / TRUNK LID DAMPER","16","£568.71","£27.92","£596.63","£443.54","£125.17","22.01"
"SERVICEKIT21-X","CONTINENTAL R SERVICE KIT","1","£497.04","£99.41","£596.45","£116.68","£380.36","76.53"
"RF7553-X","STEERING CROSS BEAM AND DRAG LINK BALL PIN SEAL","28","£533.63","£62.59","£596.22","£11.20","£522.43","97.90"
"UR4443-X","STEERING BALL JOINT SPRING SEAT","27","£537.66","£58.55","£596.21","£33.02","£504.64","93.86"
"CD6911SX-COU","CUSTOMERS OWN UNIT  INSTRUMENT PANEL & CASE","1","£595.69","£0.00","£595.69","£395.00","£200.69","33.69"
"RH12758-X","JOINT THERMOSTAT OUTLET","123","£569.81","£25.71","£595.52","£62.25","£507.56","89.08"
"CD6949SX-R","DIP PANEL","1","£595.00","£0.00","£595.00","£295.00","£300.00","50.42"
"PG57621PD-A","TOP AND VENT FEED L675 HOSE","3","£594.72","£0.00","£594.72","£490.22","£104.50","17.57"
"PD22931PESX-R","DAMPER FRONT LH BENTLEY","1","£495.00","£99.00","£594.00","£371.25","£123.75","25"
"UE30186SX-COU","CUSTOMERS OWN UNIT  YORK COMPRESSOR","1","£495.00","£99.00","£594.00","£0.00","£495.00","100"
"UR1998-X","STEERING COLUMN GAITER","5","£499.03","£94.85","£593.88","£135.92","£363.11","72.76"
"UD26333-X","TX VALVE","9","£560.74","£33.10","£593.84","£90.00","£470.74","83.95"
"09E321371-X","GEARBOX SUMP GASKET (24 HOLE)","17","£536.83","£57.00","£593.83","£151.47","£385.36","71.78"
"PW86489-A","BARRIER SEAL (PER METER)","7","£593.33","£0.00","£593.33","£451.50","£141.83","23.90"
"RH7775-X","UPPER FRONT SUSPENSION BALL JOINT SPANNER","5","£593.32","£0.00","£593.32","£500.20","£93.12","15.69"
"3W0199381R-A","ENGINE MOUNTING","2","£493.98","£98.80","£592.78","£330.02","£163.96","33.19"
"JAGBDSL-X","Jaguar Body Seal","4","£592.00","£0.00","£592.00","£592.00","£0.00","0"
"PW82063-A","NUMBER PLATE MOUNTING ASSEMBLY","1","£591.99","£0.00","£591.99","£576.00","£15.99","2.70"
"UE43115-A","HOSE FUEL ASSEMBLY","2","£591.98","£0.00","£591.98","£480.00","£111.98","18.92"
"7176594-A","FUEL PIPE WITH FILTER","1","£591.79","£0.00","£591.79","£493.15","£98.64","16.67"
"CSK31-X","CARBURETOR SERVICE KIT 2 HD8","4","£492.08","£98.42","£590.50","£341.10","£150.98","30.68"
"UT14120PA-A","PUSH ROD ASSEMBLY","6","£590.39","£0.00","£590.39","£566.98","£23.41","3.97"
"PP55406PA-A","RIGHT HAND MIRROR GLASS (FLAT, HEATED, DIMMING)","3","£588.97","£0.00","£588.97","£388.45","£200.52","34.05"
"RG3199-X","REAR BRK EXPANDER TO BACKPLATE SEAL","91","£535.91","£52.40","£588.31","£20.90","£515.01","96.10"
"UR15601SX-COU","CUSTOMERS OWN UNIT  ASSY STEERING BOX LHD","1","£587.92","£0.00","£587.92","£495.00","£92.92","15.80"
"CD5708SX-R","ROUND WIPER MOTOR 16W (LESS GEAR)","3","£548.63","£39.19","£587.82","£480.00","£68.63","12.51"
"UE73820-X","AND PIPE OIL RETURN HOSE ASSEMBLY","3","£535.11","£51.82","£586.93","£284.31","£250.80","46.87"
"CD6796-X","SINGLE RECTANGULAR HEADLIGHT LENS SEAL","31","£550.29","£36.37","£586.66","£335.01","£215.28","39.12"
"UD21300-X","THERMAL COMPRESSOR FUSE","24","£522.97","£63.19","£586.16","£148.40","£374.57","71.62"
"UR27217HUBSX-COU","CUSTOMERS OWN UNIT LHR HUB ASSEMBLY 1987 - 1991 TURBO","1","£487.50","£97.50","£585.00","£264.27","£223.23","45.79"
"RH14193-A","FRONT SILENCER CAT ASSEMBLY","1","£585.00","£0.00","£585.00","£187.14","£397.86","68.01"
"UR27216HUBSX-COU","CUSTOMERS OWN UNIT RHR HUB ASSEMBLY 1987 - 1991 TURBO","1","£487.50","£97.50","£585.00","£265.05","£222.45","45.63"
"3D0898030-X","HEATER MATRIX","2","£487.37","£97.47","£584.84","£460.30","£27.07","5.55"
"UR18549-X","RADIATOR TO TANK HOSE","21","£548.21","£36.55","£584.76","£176.99","£371.22","67.71"
"UE6231-X","AUTOMATIC CHOKE DEPRESSION VALVE DIAPHRAGM","87","£571.08","£11.95","£583.03","£61.81","£509.27","89.18"
"UD23220-A","CIGAR LIGHTER SOCKET","13","£527.07","£55.72","£582.79","£65.00","£462.07","87.67"
"0150572-A","WHEEL BEARING REPAIR KIT","1","£582.77","£0.00","£582.77","£146.29","£436.48","74.90"
"UD4667SX-R","SWITCH WINDSCREEN WASHER","3","£485.63","£97.13","£582.76","£353.37","£132.26","27.23"
"UT14052PA-A","FRONT ABS SENSOR (RIGHT HAND)","1","£485.00","£97.00","£582.00","£368.64","£116.36","23.99"
"RF6489-X","FUEL FEED FLEXIBLE HOSE (LEFT HAND DRIVE)","5","£528.92","£53.00","£581.92","£461.13","£67.79","12.82"
"07C905600-A","SPARK PLUG","23","£528.34","£53.33","£581.67","£492.42","£35.92","6.80"
"UD21172-A","BOSCH FOGLAMP REAR","16","£565.92","£15.66","£581.58","£503.89","£62.03","10.96"
"UR1190-A","ANTI-ROLL BAR BUSH","5","£538.95","£42.55","£581.50","£478.10","£60.85","11.29"
"UD22287-A","HEATER RETURN PIPE HOSE","4","£581.23","£0.00","£581.23","£509.70","£71.53","12.31"
"UD73548SX-COU","CUSTOMERS OWN UNIT  MICROPROCESSOR HOOD CONT","1","£580.99","£0.00","£580.99","£175.45","£405.54","69.80"
"UD11964-SU","ALTERNATOR LUCAS 11AC Surcharge","5","£500.00","£80.00","£580.00","£375.00","£125.00","25"
"UR12749-X","STEERING TRACK ROD BALL PIN SEAT (DROP ARM AND IDLER LEVER)","9","£559.03","£20.96","£579.99","£24.93","£534.10","95.54"
"PB106710PB-A","HYDRAMOUNT GEARBOX","1","£579.99","£0.00","£579.99","£550.99","£29.00","5"
"RF8176-X","FUEL FILLER HOSE","17","£523.73","£55.80","£579.53","£291.99","£231.74","44.25"
"RF5081-X","FRONT SPRING BUMP STOP","10","£551.51","£27.98","£579.49","£265.61","£285.90","51.84"
"9206870-A","OPERATING UNIT, SEAT AIR CONDITIONING","1","£578.82","£0.00","£578.82","£500.60","£78.22","13.51"
"UR15134-X","FRONT SPRING","2","£482.16","£96.43","£578.59","£113.80","£368.36","76.40"
"UD17971-X","REAR LAMP","2","£577.73","£0.00","£577.73","£442.72","£135.01","23.37"
"07C117037K-A","ENGINE OIL COOLER","1","£577.49","£0.00","£577.49","£561.00","£16.49","2.86"
"RH2642-X","MAIN SHELL SET (-0.010)","2","£523.06","£54.24","£577.30","£64.92","£458.14","87.59"
"PB20364PA-X","FRONT OXYGEN / LAMBDA SENSOR","6","£557.18","£19.66","£576.84","£202.32","£354.86","63.69"
"PBU436-X","FEMALE BRK PIPE UNION (UNF)","366","£563.17","£13.53","£576.70","£40.48","£522.69","92.81"
"CD1580-X","BRK RESERVOIR JAR","12","£564.25","£11.79","£576.04","£121.80","£442.45","78.41"
"UD11226SX-COU","CUSTOMERS OWN UNIT  ACTUATOR HEATER","4","£480.00","£96.00","£576.00","£400.00","£80.00","16.67"
"GMF1265-A","HYDRAULIC PRESSURE SWITCH ASSEMBLY","2","£575.98","£0.00","£575.98","£479.99","£95.99","16.67"
"UE37053-X","BALLAST RESISTOR","3","£575.90","£0.00","£575.90","£472.47","£103.43","17.96"
"UE2078-X","FLEXIBLE PIPE","6","£533.13","£42.72","£575.85","£210.12","£323.01","60.59"
"RD3132SX-COU","CUSTOMERS OWN UNIT  STARTER MOTOR","1","£575.23","£0.00","£575.23","£420.00","£155.23","26.99"
"7302037-A","MIRROR GLASS, PLANE, LEFT","1","£574.53","£0.00","£574.53","£478.78","£95.75","16.67"
"PD116405PASX-COU","CUSTOMERS OWN UNIT  ASSY DAMPERSTRUT REAR LH","1","£478.48","£95.70","£574.18","£0.00","£478.48","100"
"PD116406PASX-COU","CUSTOMERS OWN UNIT  ASSY DAMPERSTRUT REAR RH","1","£478.48","£95.70","£574.18","£0.00","£478.48","100"
"PD57293PASX-R","STRUT AND HOSE LEFT HAND REAR ASSEMBLY","1","£478.48","£95.69","£574.17","£250.00","£228.48","47.75"
"1J0907660F-X","OIL LEVEL SENSOR","14","£539.57","£33.71","£573.28","£287.16","£252.41","46.78"
"7301405-A","AIR DUCT, RADIATOR","1","£573.13","£0.00","£573.13","£505.71","£67.42","11.76"
"RE15179-X","EXHAUST TAPPET","19","£496.03","£76.88","£572.91","£52.63","£443.40","89.39"
"UR1698-A","RUBBER BUSH","24","£505.23","£67.36","£572.59","£421.02","£84.21","16.67"
"UD74279-A","LEFT HAND FRONT INDICATOR LIGHT (ECE)","2","£571.86","£0.00","£571.86","£531.24","£40.62","7.10"
"RE7286NF-X","CARBURETOR FLOAT (ETHANOL RESISTANT)","16","£519.93","£51.14","£571.07","£400.55","£119.38","22.96"
"UR968-X","UPPER FRONT SUSPENSION PIVOT LUBRICATION HOSE","9","£526.28","£44.68","£570.96","£433.53","£92.75","17.62"
"UB5097C-X","MIRROR (LEFT HAND WING / RIGHT HAND DOOR, CONVEX GLASS)","14","£518.13","£52.37","£570.50","£325.10","£193.03","37.26"
"RH3375BT-X","REAR SHOCK ABSORBER GAITER","26","£536.26","£33.74","£570.00","£104.85","£431.41","80.45"
"PP114342PA-A","DROP GLASS DOOR FRONT RIGHT HAND","1","£569.99","£0.00","£569.99","£484.50","£85.49","15"
"UT14075PB-A","BATTERY","3","£569.72","£0.00","£569.72","£492.36","£77.36","13.58"
"RH377-X","SERVO COVER RUBBER SEAL","50","£490.35","£79.30","£569.65","£102.28","£388.07","79.14"
"UE44052-A","ELEMENT FILTER AIRCLEANER","11","£558.49","£10.64","£569.13","£352.87","£205.62","36.82"
"UG3689-X","REAR WHEEL CYLINDER PISTON","18","£557.93","£11.18","£569.11","£254.63","£303.30","54.36"
"3Y2955426-X","DRIVER SIDE WIPER BLADE (RIGHT HAND DRIVE)","27","£474.07","£94.48","£568.55","£48.87","£425.20","89.69"
"3Y0398008-X","GEARBOX FILTER / SERVICE KIT","4","£497.04","£71.34","£568.38","£276.90","£220.14","44.29"
"07V103899A-X","CAMSHAFT TIMING GEAR LOCK TAB","106","£524.06","£44.20","£568.26","£23.32","£500.74","95.55"
"CD5145-X","STARTER MOTOR SOLENOID","5","£514.88","£52.53","£567.41","£206.50","£308.38","59.89"
"UE73812BRG-X","PROPELLOR SHAFT CENTER SUPPORT ROLLER","3","£517.37","£49.98","£567.35","£319.80","£197.57","38.19"
"R3691-A","CYLINDER LINER (4.25L)","22","£472.59","£94.52","£567.11","£31.46","£441.13","93.34"
"UE73947-A","RAM PIPE SLEEVE","16","£566.65","£0.00","£566.65","£446.88","£119.77","21.14"
"UD17813SX-R","FRONT SIDELAMP AND FLASHER ASSEMBLY","2","£472.00","£94.40","£566.40","£442.50","£29.50","6.25"
"3Y0422811-A","STEERING TRACK ROD END","2","£471.73","£94.35","£566.08","£479.98","£-8.25","-1.75"
"2462942-A","ROLLS-ROYCE GENUINE OIL LL-12 FE 0W30","11","£471.10","£94.22","£565.32","£390.82","£80.28","17.04"
"UE73618-X","FUEL LEVEL TRANSMITTER GASKET","290","£534.79","£29.84","£564.63","£328.22","£206.57","38.63"
"CK610-X","O RING","429","£545.90","£18.05","£563.95","£81.91","£463.99","85"
"GMF1026-A","DIAPHRAGM PRES SWITCH","10","£530.90","£32.40","£563.30","£454.47","£76.43","14.40"
"UG2509-X","MASTER CYLINDER PULL-OFF SPRING","19","£517.25","£45.78","£563.03","£75.24","£442.01","85.45"
"UE43080SX-P","CYLINDER HEAD (A AND B BANK) ASSEMBLY","1","£469.00","£93.80","£562.80","£350.00","£119.00","25.37"
"6762826-A","WISHBONE, TOP, WITH RUBBER MOUNT RIGHT","1","£562.42","£0.00","£562.42","£499.92","£62.50","11.11"
"GM8670283-X","GEARBOX FRONT PUMP OIL SEAL","29","£535.11","£27.13","£562.24","£88.16","£446.95","83.52"
"UE78791SX-COU","CUSTOMERS OWN UNIT  OIL PUMP ASSEMBLY","1","£561.98","£0.00","£561.98","£349.13","£212.85","37.88"
"8661697-A","CRANK CASE VENT VALVE","2","£561.98","£0.00","£561.98","£532.41","£29.57","5.26"
"TRD72-9-X","DOOR SEAL (PER METER)","45","£468.89","£92.97","£561.86","£90.00","£378.89","80.81"
"UE41719-55SX-COU","CUSTOMERS OWN UNIT  ALTERNATOR CAV 55 AMP","3","£495.72","£66.10","£561.82","£425.00","£70.72","14.27"
"0414733-A","REPLACEMENT SET, BALL JOINT","1","£561.64","£0.00","£561.64","£505.48","£56.16","10"
"PH55520PC-A","PIPE REGULATOR TO RACK","1","£467.99","£93.60","£561.59","£238.23","£229.76","49.10"
"UD71845-X","TWIN HEADLIGHT WASHER JET","6","£496.32","£65.10","£561.42","£160.69","£335.63","67.62"
"UB95974-A","FINISHER STRIP RMOULDING","2","£560.98","£0.00","£560.98","£476.00","£84.98","15.15"
"UE73546-X","GASKET CHOKE STOVE PIPE","108","£554.84","£6.04","£560.88","£129.60","£425.24","76.64"
"PW50191-X","A POST SEAL (PER METER)","22","£537.33","£22.76","£560.09","£247.83","£289.50","53.88"
"PM112740PB-X","WIPER BLADE (RIGHT HAND DRIVE)","20","£477.24","£82.67","£559.91","£29.00","£448.24","93.92"
"UD74277-A","LEFT HAND FRONT INDICATOR LIGHT (SAE)","2","£508.74","£50.87","£559.61","£342.43","£166.31","32.69"
"UD74798-X","WIPER BLADE DRIVER 16","38","£538.57","£20.13","£558.70","£25.84","£512.73","95.20"
"UD6152-X","WINDSCREEN WASHER BOTTLE AND PUMP","2","£558.23","£0.00","£558.23","£371.14","£187.09","33.51"
"3W0949101A-A","TURN SIGNAL INDICATOR","3","£464.97","£93.00","£557.97","£418.50","£46.47","9.99"
"GTTRIMCLIP1-X","DOOR TRIM RETAINING CLIP","49","£548.34","£9.40","£557.74","£128.87","£419.47","76.50"
"UE10146-X","SPRING","296","£536.17","£20.40","£556.57","£54.69","£481.48","89.80"
"36A121081-A","VENT HOSE","7","£555.95","£0.00","£555.95","£455.17","£100.78","18.13"
"3W7907273-A","CONTROL UNIT FOR TIRE PRESSURE CONTROL","1","£462.49","£92.50","£554.99","£395.18","£67.31","14.55"
"UT14052PA-U","SENSOR ABS RH","5","£514.50","£39.90","£554.40","£305.00","£209.50","40.72"
"CD5904SX-COU","CUSTOMERS OWN UNIT  IGNITION DISTRIBUTOR MODULE","2","£553.52","£0.00","£553.52","£331.20","£222.32","40.16"
"WHT002927-A","O RING","62","£493.36","£60.14","£553.50","£454.75","£38.61","7.83"
"7303116-A","COVER, WINDSHIELD","2","£552.54","£0.00","£552.54","£448.02","£104.52","18.92"
"UR73256-A","BALL JOINT LOWER SUSPENSION ASSEMBLY","2","£552.48","£0.00","£552.48","£392.37","£160.11","28.98"
"UE37810-A","WATERPUMP TWIN DRIVE BELT SET","18","£513.80","£38.65","£552.45","£385.03","£128.77","25.06"
"PB100679PF-A","CYLINDER HEAD GASKET","6","£486.14","£66.16","£552.30","£356.49","£129.65","26.67"
"REWEB-X","SEATBELT Aftermarket","1","£552.30","£0.00","£552.30","£233.50","£318.80","57.72"
"RB5339TR-X","TOOL TRAY RUBBER MOLDING (BAKELITE SCREWDRIVER)","4","£490.34","£61.75","£552.09","£75.20","£415.14","84.66"
"R7075-X","PISTON CONNECTING ROD CASTELLATED NUT","24","£499.30","£52.71","£552.01","£157.92","£341.38","68.37"
"UD2307-X","LOW NOTE HORN","6","£460.96","£90.82","£551.78","£191.70","£269.26","58.41"
"CD5009-X","STEERING PUMP SEAL KIT","17","£527.44","£24.00","£551.44","£73.47","£453.97","86.07"
"UR1342-X","OVERRIDER BOLT","43","£459.83","£91.35","£551.18","£228.66","£231.17","50.27"
"UE75007-A","FUEL PIPE ASSEMBLY","3","£520.47","£30.60","£551.07","£416.88","£103.59","19.90"
"3Z0121254-X","RADIATOR ENGINE COOLING","1","£458.44","£91.69","£550.13","£339.58","£118.86","25.93"
"RH2658-SU","POWER STEERING PUMP Surcharge","2","£500.00","£50.00","£550.00","£2.00","£498.00","99.60"
"3Y0422351-A","OIL PRESSURE REGULATING VALVE","1","£549.99","£0.00","£549.99","£508.74","£41.25","7.50"
"7166090-A","TRIM RING, HEADLIGHT, RIGHT","2","£549.95","£0.00","£549.95","£499.79","£50.16","9.12"
"UB92045-U","LATCH FRONT HEADER LEFT HAND","1","£457.88","£91.58","£549.46","£123.43","£334.45","73.04"
"RE7144-X","SEAL","36","£479.31","£70.09","£549.40","£144.36","£334.95","69.88"
"UR13794-X","FRONT SUBFRAME PANHARD ROD / STABILIZER BUSH","35","£542.04","£7.29","£549.33","£217.00","£325.04","59.97"
"RG4204-A","LOWER BRK EQUALIZER SUPPORT BRACKET RUBBER BUSH","33","£484.64","£64.44","£549.08","£366.86","£117.78","24.30"
"UD71033-X","MIDRANGE SPEAKER UNIT (SINGLE)","14","£470.82","£78.18","£549.00","£129.36","£341.46","72.52"
"UE73810-X","PROPELLOR SHAFT UNIVERSAL JOINT","8","£468.98","£79.88","£548.86","£174.00","£294.98","62.90"
"RF4999-X","STEERING CENTER LEVER BALL PIN TENSIONING SPRING","29","£525.60","£22.70","£548.30","£501.65","£23.95","4.56"
"3W0698451N-A","BRK ROTOR PADS SET (WITH WEAR INDICATOR)","3","£547.23","£0.00","£547.23","£348.04","£199.19","36.40"
"FB4606-X","REAR CHASSIS BUMP STOP","10","£457.00","£89.45","£546.45","£104.60","£352.40","77.11"
"RH685SX-COU","CUSTOMERS OWN UNIT  DYNAMO C47","1","£455.35","£91.07","£546.42","£350.00","£105.35","23.14"
"UD23734-X","IGNITION MODULE","3","£498.24","£48.13","£546.37","£285.00","£213.24","42.80"
"3W3853684-X","RIGHT HAND RADIATOR GRILLE (CHROME)","2","£546.26","£0.00","£546.26","£349.64","£196.62","35.99"
"0027405-A","GEAR SELECTOR SWITCH","1","£455.14","£91.03","£546.17","£407.23","£47.91","10.53"
"3W0955104A-X","RIGHT HAND HEADLIGHT WASHER JET","12","£461.12","£84.88","£546.00","£344.45","£116.67","25.30"
"CD6077UPR-X","ROTOR ARM DISTRIBUTOR","21","£524.71","£21.11","£545.82","£210.00","£314.71","59.98"
"PL30354PA-A","POSITION SWITCH","2","£545.74","£0.00","£545.74","£395.79","£149.95","27.48"
